C_molar,ln_C,neg2loglik_relative
1.000000000000e-11,-25.328436023,0.000000000
1.059253725177e-11,-25.270871396,0.000000000
1.122018454302e-11,-25.213306768,0.000000000
1.188502227437e-11,-25.155742141,0.000000000
1.258925411794e-11,-25.098177514,0.000000000
1.333521432163e-11,-25.040612886,0.000000000
1.412537544623e-11,-24.983048259,0.000000000
1.496235656094e-11,-24.925483632,0.000000000
1.584893192461e-11,-24.867919004,0.000000000
1.678804018123e-11,-24.810354377,0.000000000
1.778279410039e-11,-24.752789750,0.000000000
1.883649089490e-11,-24.695225122,0.000000000
1.995262314969e-11,-24.637660495,0.000000000
2.113489039837e-11,-24.580095868,0.000000000
2.238721138568e-11,-24.522531240,0.000000000
2.371373705662e-11,-24.464966613,0.000000000
2.511886431510e-11,-24.407401986,0.000000000
2.660725059799e-11,-24.349837358,0.000000000
2.818382931264e-11,-24.292272731,0.000000000
2.985382618918e-11,-24.234708104,0.000000000
3.162277660168e-11,-24.177143476,0.000000000
3.349654391578e-11,-24.119578849,0.000000000
3.548133892336e-11,-24.062014222,0.000000000
3.758374042884e-11,-24.004449594,0.000000000
3.981071705535e-11,-23.946884967,0.000000000
4.216965034286e-11,-23.889320340,0.000000000
4.466835921510e-11,-23.831755712,0.000000000
4.731512589615e-11,-23.774191085,0.000000000
5.011872336273e-11,-23.716626458,0.000000000
5.308844442310e-11,-23.659061831,0.000000000
5.623413251903e-11,-23.601497203,0.000000000
5.956621435290e-11,-23.543932576,0.000000000
6.309573444802e-11,-23.486367949,0.000000000
6.683439175686e-11,-23.428803321,0.000000000
7.079457843841e-11,-23.371238694,0.000000000
7.498942093325e-11,-23.313674067,0.000000000
7.943282347243e-11,-23.256109439,0.000000000
8.413951416452e-11,-23.198544812,0.000000000
8.912509381337e-11,-23.140980185,0.000000000
9.440608762859e-11,-23.083415557,0.000000000
1.000000000000e-10,-23.025850930,0.000000000
1.059253725177e-10,-22.968286303,0.000000000
1.122018454302e-10,-22.910721675,0.000000000
1.188502227437e-10,-22.853157048,0.000000000
1.258925411794e-10,-22.795592421,0.000000000
1.333521432163e-10,-22.738027793,0.000000000
1.412537544623e-10,-22.680463166,0.000000000
1.496235656094e-10,-22.622898539,0.000000000
1.584893192461e-10,-22.565333911,0.000000000
1.678804018123e-10,-22.507769284,0.000000000
1.778279410039e-10,-22.450204657,0.000000000
1.883649089490e-10,-22.392640029,0.000000000
1.995262314969e-10,-22.335075402,0.000000000
2.113489039837e-10,-22.277510775,0.000000000
2.238721138568e-10,-22.219946147,0.000000000
2.371373705662e-10,-22.162381520,0.000000000
2.511886431510e-10,-22.104816893,0.000000000
2.660725059799e-10,-22.047252265,0.000000000
2.818382931264e-10,-21.989687638,0.000000000
2.985382618918e-10,-21.932123011,0.000000000
3.162277660168e-10,-21.874558383,0.000000000
3.349654391578e-10,-21.816993756,0.000000000
3.548133892336e-10,-21.759429129,0.000000000
3.758374042884e-10,-21.701864501,0.000000000
3.981071705535e-10,-21.644299874,0.000000000
4.216965034286e-10,-21.586735247,0.000000000
4.466835921510e-10,-21.529170619,0.000000000
4.731512589615e-10,-21.471605992,0.000000000
5.011872336273e-10,-21.414041365,0.000000000
5.308844442310e-10,-21.356476738,0.000000000
5.623413251903e-10,-21.298912110,0.000000000
5.956621435290e-10,-21.241347483,0.000000000
6.309573444802e-10,-21.183782856,0.000000000
6.683439175686e-10,-21.126218228,0.000000000
7.079457843841e-10,-21.068653601,0.000000000
7.498942093325e-10,-21.011088974,0.000000000
7.943282347243e-10,-20.953524346,0.000000000
8.413951416452e-10,-20.895959719,0.000000000
8.912509381337e-10,-20.838395092,0.000000000
9.440608762859e-10,-20.780830464,0.000000000
1.000000000000e-09,-20.723265837,0.000000000
1.059253725177e-09,-20.665701210,0.000000000
1.122018454302e-09,-20.608136582,0.000000000
1.188502227437e-09,-20.550571955,0.000000000
1.258925411794e-09,-20.493007328,0.000000000
1.333521432163e-09,-20.435442700,0.000000000
1.412537544623e-09,-20.377878073,0.000000000
1.496235656094e-09,-20.320313446,0.000000000
1.584893192461e-09,-20.262748818,0.000000000
1.678804018123e-09,-20.205184191,0.000000000
1.778279410039e-09,-20.147619564,0.000000000
1.883649089490e-09,-20.090054936,0.000000000
1.995262314969e-09,-20.032490309,0.000000000
2.113489039837e-09,-19.974925682,0.000000000
2.238721138568e-09,-19.917361054,0.000000000
2.371373705662e-09,-19.859796427,0.000000000
2.511886431510e-09,-19.802231800,0.000000000
2.660725059799e-09,-19.744667172,0.000000000
2.818382931264e-09,-19.687102545,0.000000000
2.985382618918e-09,-19.629537918,0.000000000
3.162277660168e-09,-19.571973290,0.000000000
3.349654391578e-09,-19.514408663,0.000000000
3.548133892336e-09,-19.456844036,0.000000000
3.758374042884e-09,-19.399279408,0.000000000
3.981071705535e-09,-19.341714781,0.000000000
4.216965034286e-09,-19.284150154,0.000000000
4.466835921510e-09,-19.226585527,0.000000000
4.731512589615e-09,-19.169020899,0.000000000
5.011872336273e-09,-19.111456272,0.000000000
5.308844442310e-09,-19.053891645,0.000000000
5.623413251903e-09,-18.996327017,0.000000000
5.956621435290e-09,-18.938762390,0.000000000
6.309573444802e-09,-18.881197763,0.000000000
6.683439175686e-09,-18.823633135,0.000000000
7.079457843841e-09,-18.766068508,0.000000000
7.498942093325e-09,-18.708503881,0.000000000
7.943282347243e-09,-18.650939253,0.000000000
8.413951416452e-09,-18.593374626,0.000000000
8.912509381337e-09,-18.535809999,0.000000000
9.440608762859e-09,-18.478245371,0.000000000
1.000000000000e-08,-18.420680744,0.000000000
1.059253725177e-08,-18.363116117,0.000000000
1.122018454302e-08,-18.305551489,0.000000000
1.188502227437e-08,-18.247986862,0.000000000
1.258925411794e-08,-18.190422235,0.000000000
1.333521432163e-08,-18.132857607,0.000000000
1.412537544623e-08,-18.075292980,0.000000000
1.496235656094e-08,-18.017728353,0.000000000
1.584893192461e-08,-17.960163725,0.000000000
1.678804018123e-08,-17.902599098,0.000000000
1.778279410039e-08,-17.845034471,0.000000000
1.883649089490e-08,-17.787469843,0.000000000
1.995262314969e-08,-17.729905216,0.000000000
2.113489039837e-08,-17.672340589,0.000000000
2.238721138568e-08,-17.614775961,0.000000000
